-684077809.15551200	-439682208.95956000	17124499.62172290
-683480052.08834300	-440577817.08817600	17114847.55358370
-682881039.33944500	-441472614.82342700	17105164.02583610
-682280771.92831500	-442366600.46806900	17095449.05424710
-681679250.87657200	-443259772.32592600	17085702.65463580
-681076477.20795500	-444152128.70189000	17075924.84287320
-680472451.94832700	-445043667.90192500	17066115.63488220
-679867176.12566900	-445934388.23306700	17056275.04663760
-679260650.77008100	-446824288.00342800	17046403.09416600
-678652876.91378400	-447713365.52219800	17036499.79354590
-678043855.59111600	-448601619.09964400	17026565.16090790
-677433587.83853700	-449489047.04712000	17016599.21243420
-676822074.69461900	-450375647.67705900	17006601.96435910
-676209317.20005600	-451261419.30298400	16996573.43296860
-675595316.39765600	-452146360.23950200	16986513.63460080
-674980073.33234500	-453030468.80231600	16976422.58564530
-674363589.05116400	-453913743.30821700	16966300.30254410
-673745864.60326900	-454796182.07509500	16956146.80179050
-673126901.03993200	-455677783.42193400	16945962.09993020
-672506699.41453700	-456558545.66882000	16935746.21356030
-671885260.78258300	-457438467.13693800	16925499.15933010
-671262586.20168300	-458317546.14857700	16915220.95394060
-670638676.73156200	-459195781.02713500	16904911.61414450
-670013533.43405800	-460073170.09711500	16894571.15674680
-669387157.37311900	-460949711.68413200	16884199.59860390
-668759549.61480500	-461825404.11491100	16873796.95662430
-668130711.22728800	-462700245.71729500	16863363.24776820
-667500643.28085000	-463574234.82024200	16852898.48904780
-666869346.84788000	-464447369.75383000	16842402.69752690
-666236823.00288100	-465319648.84925600	16831875.89032140
-665603072.82246000	-466191070.43884400	16821318.08459900
-664968097.38533500	-467061632.85604000	16810729.29757890
-664331897.77233100	-467931334.43542100	16800109.54653270
-663694475.06638000	-468800173.51269100	16789458.84878330
-663055830.35252200	-469668148.42468900	16778777.22170570
-662415964.71790100	-470535257.50938700	16768064.68272670
-661774879.25176800	-471401499.10589300	16757321.24932480
-661132575.04547900	-472266871.55445600	16746546.93903060
-660489053.19249400	-473131373.19646200	16735741.76942610
-659844314.78837900	-473995002.37444400	16724905.75814560
-659198360.93080000	-474857757.43207900	16714038.92287480
-658551192.71953000	-475719636.71419100	16703141.28135150
-657902811.25644200	-476580638.56675500	16692212.85136500
-657253217.64551200	-477440761.33689500	16681253.65075680
-656602412.99281600	-478300003.37289200	16670263.69742000
-655950398.40653300	-479158363.02418300	16659243.00929940
-655297174.99694000	-480015838.64136200	16648191.60439190
-654642743.87641500	-480872428.57618400	16637109.50074600
-653987106.15943600	-481728131.18156800	16625996.71646190
-653330262.96257900	-482582944.81159700	16614853.26969190
-652672215.40451600	-483436867.82152200	16603679.17864000
-652012964.60602000	-484289898.56776200	16592474.46156170
-651352511.68995900	-485142035.40790800	16581239.13676470
-650690857.78129700	-485993276.70072700	16569973.22260840
-650028004.00709500	-486843620.80616000	16558676.73750370
-649363951.49650800	-487693066.08532500	16547349.69991370
-648698701.38078600	-488541610.90052300	16535992.12835310
-648032254.79327400	-489389253.61523600	16524604.04138830
-647364612.86940900	-490235992.59413100	16513185.45763750
-646695776.74672000	-491081826.20306300	16501736.39577080
-646025747.56483200	-491926752.80907500	16490256.87451000
-645354526.46545800	-492770770.78040200	16478746.91262870
-644682114.59240200	-493613878.48647300	16467206.52895210
-644008513.09155900	-494456074.29791300	16455635.74235740
-643333723.11091700	-495297356.58654400	16444034.57177340
-642657745.80054700	-496137723.72538900	16432403.03618060
-641980582.31261400	-496977174.08867400	16420741.15461140
-641302233.80136700	-497815706.05183000	16409048.94614970
-640622701.42314500	-498653317.99149600	16397326.42993150
-639941986.33637200	-499490008.28551700	16385573.62514400
-639260089.70156000	-500325775.31295400	16373790.55102670
-638577012.68130400	-501160617.45408000	16361977.22687040
-637892756.44028600	-501994533.09038300	16350133.67201770
-637207322.14527200	-502827520.60457100	16338259.90586300
-636520710.96511000	-503659578.38057400	16326355.94785230
-635832924.07073300	-504490704.80354300	16314421.81748350
-635143962.63515600	-505320898.25985400	16302457.53430580
-634453827.83347600	-506150157.13711200	16290463.11792040
-633762520.84287000	-506978479.82415200	16278438.58798020
-633070042.84259800	-507805864.71104000	16266383.96418960
-632376395.01399700	-508632310.18907900	16254299.26630470
-631681578.54048700	-509457814.65080400	16242184.51413340
-630985594.60756400	-510282376.48999400	16230039.72753510
-630288444.40280500	-511105994.10166700	16217864.92642110
-629590129.11586100	-511928665.88208500	16205660.13075410
-628890649.93846300	-512750390.22875600	16193425.36054850
-628190008.06441800	-513571165.54043600	16181160.63587060
-627488204.68960800	-514390990.21713200	16168865.97683790
-626785241.01199000	-515209862.66010300	16156541.40361990
-626081118.23159800	-516027781.27186500	16144186.93643770
-625375837.55053600	-516844744.45618900	16131802.59556390
-624669400.17298500	-517660750.61810800	16119388.40132270
-623961807.30519700	-518475798.16391500	16106944.37409020
-623253060.15549600	-519289885.50117000	16094470.53429370
-622543159.93428000	-520103011.03869800	16081966.90241240
-621832107.85401300	-520915173.18659200	16069433.49897720
-621119905.12923500	-521726370.35621900	16056870.34457030
-620406552.97655100	-522536600.96021800	16044277.45982560
-619692052.61463800	-523345863.41250500	16031654.86542880
-618976405.26424000	-524154156.12827400	16019002.58211680
-618259612.14817000	-524961477.52399800	16006320.63067860
-617541674.49130600	-525767826.01743500	15993609.03195440
-616822593.52059600	-526573200.02762900	15980867.80683590
-616102370.46505100	-527377597.97491000	15968096.97626680
-615381006.55574800	-528181018.28089900	15955296.56124190
-614658503.02582900	-528983459.36850800	15942466.58280790
-613934861.11050000	-529784919.66194500	15929607.06206290
